marca,modelo,precio,kilometraje,year,combustible,ciudad,cat_combustible,antiguedad_auto,uso_anual_estimado,es_ecologico,categoria_precio,rango_kilometraje,tipo_marca,segmento_depreciacion
citroen,C5 1.5 Turbo,16970000.0,61200.0,2023,diesel,santiago,1,3,20400.0,0,medio,medio,general,depreciacion media
dodge,Durango 3.6 Sxt 4x4 At 5p,19990000.0,67494.0,2019,bencina,antofagasta,0,7,9642.0,0,medio,medio,general,depreciacion media
dodge,Journey At,15500000.0,110343.0,2017,bencina,santiago,0,9,12260.333333333334,0,medio,alto,general,alta depreciacion
dodge,Journey 2.4,14500000.0,128600.0,2017,bencina,santiago,0,9,14288.888888888889,0,medio,alto,general,alta depreciacion
ds,Ds7 Crossback 2.0 Opera Bluehdi 180 4x2,25990000.0,14542.0,2023,diesel,tarapaca,1,3,4847.333333333333,0,alto,bajo,general,baja depreciacion
exeed,Txl 2.0t Unlimited 4x2 Dct At,18090000.0,73428.0,2023,bencina,araucania,0,3,24476.0,0,medio,medio,general,depreciacion media
exeed,Vx Unlimited 4x4 2.0,18900000.0,40000.0,2023,bencina,santiago,0,3,13333.333333333334,0,medio,medio,general,baja depreciacion
fiat,500x 1.4 Cross Turbo 4x4 170cv,11800000.0,44000.0,2019,bencina,araucania,0,7,6285.714285714285,0,medio,medio,general,depreciacion media
fiat,Strada Strada Trekking Dcab 1.4,6690000.0,147000.0,2018,bencina,araucania,0,8,18375.0,0,bajo,alto,general,alta depreciacion
ford,Bronco 1.5 Big Bend Auto 4wd,20990000.0,92834.0,2022,bencina,santiago,0,4,23208.5,0,alto,medio,general,depreciacion media
ford,Ecosport Freestyle 1.5,12245000.0,83000.0,2018,bencina,santiago,0,8,10375.0,0,medio,medio,general,depreciacion media
ford,Ecosport 1.5 Lts,11580000.0,53870.0,2019,bencina,santiago,0,7,7695.714285714285,0,medio,medio,general,depreciacion media
ford,Ecosport Titanium 1.5,9690000.0,86000.0,2020,bencina,araucania,0,6,14333.333333333334,0,bajo,medio,general,depreciacion media
ford,Ecosport Ecosport,13395000.0,45000.0,2020,bencina,santiago,0,6,7500.0,0,medio,medio,general,depreciacion media
ford,Ecosport Storm 4x4 2.0,18490000.0,21000.0,2020,bencina,santiago,0,6,3500.0,0,medio,bajo,general,depreciacion media
ford,Ecosport 1.5,13990000.0,43800.0,2020,diesel,santiago,1,6,7300.0,0,medio,medio,general,depreciacion media
ford,Edge 3.5 Awd,12990000.0,152406.0,2017,bencina,santiago,0,9,16934.0,0,medio,alto,general,alta depreciacion
ford,Edge Sel Awd 2.0,27700000.0,45531.0,2021,bencina,santiago,0,5,9106.2,0,alto,medio,general,depreciacion media
ford,Escape At,16900000.0,55000.0,2018,bencina,santiago,0,8,6875.0,0,medio,medio,general,depreciacion media
ford,Escape At,15945000.0,63000.0,2019,bencina,santiago,0,7,9000.0,0,medio,medio,general,depreciacion media
ford,Escape At,16850000.0,63000.0,2020,bencina,santiago,0,6,10500.0,0,medio,medio,general,depreciacion media
ford,Escape Titanium 4x4 2.0,24900000.0,65263.0,2021,bencina,santiago,0,5,13052.6,0,alto,medio,general,depreciacion media
ford,Explorer Ecoboost,11270000.0,159000.0,2015,bencina,santiago,0,11,14454.545454545454,0,medio,alto,general,alta depreciacion
ford,Explorer Xlt,19590000.0,67000.0,2017,bencina,santiago,0,9,7444.444444444444,0,medio,medio,general,alta depreciacion
ford,Explorer Explorer Ecoboost Ltd 2.3,26980000.0,136000.0,2019,bencina,santiago,0,7,19428.571428571428,0,alto,alto,general,alta depreciacion
ford,Explorer Ecoboost,27380000.0,46037.0,2019,bencina,santiago,0,7,6576.714285714285,0,alto,medio,general,depreciacion media
ford,Explorer 2.3 Limited Ecoboost 4x4,21990000.0,60635.0,2019,bencina,santiago,0,7,8662.142857142857,0,alto,medio,general,depreciacion media
ford,Explorer Xlt 4x4,39970000.0,33000.0,2025,bencina,santiago,0,1,33000.0,0,premium,medio,general,baja depreciacion
ford,F-150 Lariat 4x4 5.0,24000000.0,100622.0,2017,bencina,santiago,0,9,11180.222222222223,0,alto,alto,general,alta depreciacion
ford,F-150 Platinum 4x4 3.5,24950000.0,162484.0,2017,bencina,santiago,0,9,18053.777777777777,0,alto,alto,general,alta depreciacion
ford,F-150 Xlt 4x4 5.0,18950000.0,186134.0,2018,bencina,santiago,0,8,23266.75,0,medio,alto,general,alta depreciacion
ford,F-150 Lariat,30990000.0,103000.0,2019,bencina,santiago,0,7,14714.285714285714,0,alto,alto,general,depreciacion media
ford,F-150 Lariat 4x4 At 5.0,48400000.0,9400.0,2022,bencina,santiago,0,4,2350.0,0,premium,bajo,general,depreciacion media
ford,F-150 Xlt 4x4 5.0,39900000.0,19000.0,2022,bencina,santiago,0,4,4750.0,0,premium,bajo,general,depreciacion media
ford,F-150 Platinum 4x4 3.5,49950000.0,55254.0,2024,bencina,santiago,0,2,27627.0,0,premium,medio,general,depreciacion media
ford,F-150 Lariat Sport 5.0 4x4,44970000.0,47400.0,2024,bencina,santiago,0,2,23700.0,0,premium,medio,general,baja depreciacion
ford,Fiesta Mt,9400000.0,49900.0,2019,bencina,santiago,0,7,7128.571428571428,0,bajo,medio,general,depreciacion media
ford,Fusion Se,18500000.0,53000.0,2020,bencina,santiago,0,6,8833.333333333334,0,medio,medio,general,depreciacion media
ford,Ranger Ltd 4x4 3.2,27300000.0,90000.0,2019,diesel,santiago,1,7,12857.142857142857,0,alto,medio,general,depreciacion media
ford,Ranger Ltd 4x4 3.2,31990000.0,37680.0,2020,diesel,santiago,1,6,6280.0,0,alto,medio,general,depreciacion media
ford,Ranger Xlt 4x4,24990000.0,75000.0,2020,diesel,santiago,1,6,12500.0,0,alto,medio,general,depreciacion media
ford,Ranger Xlt 4x4,25900000.0,20000.0,2021,diesel,santiago,1,5,4000.0,0,alto,bajo,general,depreciacion media
ford,Ranger Xls 3.2 4x4,15950000.0,144251.0,2021,diesel,santiago,1,5,28850.2,0,medio,alto,general,alta depreciacion
ford,Ranger Xlt 4x4,30900000.0,21391.0,2022,bencina,santiago,0,4,5347.75,0,alto,bajo,general,depreciacion media
ford,Ranger Xl 4x4 2.2,23990000.0,47000.0,2022,diesel,santiago,1,4,11750.0,0,alto,medio,general,depreciacion media
ford,Ranger 4x4 2.2,18950000.0,93000.0,2023,diesel,santiago,1,3,31000.0,0,medio,medio,general,depreciacion media
ford,Ranger,37500000.0,22800.0,2025,diesel,santiago,1,1,22800.0,0,premium,bajo,general,baja depreciacion
ford,Territory Titanium 1.5 At,13500000.0,37000.0,2022,bencina,santiago,0,4,9250.0,0,medio,medio,general,depreciacion media
