marca,modelo,year,precio,kilometraje,combustible,ciudad,url,precio_num,km_num,year_limpio
chevrolet,Cavalier Cavalier 1.5,2020,11700000.0,37800.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-cavalier-2020-metropolitana-de-santiago-cod75843445.html,1177.0,378000.0,2020
chevrolet,Colorado High Country At 4x4,2023,23970000.0,99900.0,diesel,santiago,https://automoviles.emol.com/venta/autos/chevrolet-colorado-2023-metropolitana-de-santiago-cod77189325.html,23977.0,999000.0,2023
chevrolet,Colorado 2.8 Work Truck Mt,2025,27490000.0,32506.0,diesel,santiago,https://automoviles.emol.com/venta/autos/chevrolet-colorado-2025-metropolitana-de-santiago-cod77079659.html,27497.0,325060.0,2025
chevrolet,D-max E5 Dcab 4x4 2.5,2019,11950000.0,171331.0,diesel,santiago,https://automoviles.emol.com/venta/autos/chevrolet-d-max-2019-metropolitana-de-santiago-cod77291871.html,11957.0,1713310.0,2019
chevrolet,Equinox At,2018,15250000.0,100923.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-equinox-2018-metropolitana-de-santiago-cod75723353.html,15257.0,1009230.0,2018
chevrolet,Groove 1.5 Premier 4x2 Mt 5p,2023,11490000.0,24668.0,bencina,biobio,https://automoviles.emol.com/venta/autos/chevrolet-groove-2023-biobio-cod77338571.html,11497.0,246680.0,2023
chevrolet,Montana Ii Rc 1.8,2011,4990000.0,163238.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-montana-2011-metropolitana-de-santiago-cod77351206.html,49900000.0,1632380.0,2011
chevrolet,Montana 1.2t Premier S 4x2 Mt 4p,2024,15990000.0,78387.0,bencina,biobio,https://automoviles.emol.com/venta/autos/chevrolet-montana-2024-biobio-cod77107782.html,15997.0,783870.0,2024
chevrolet,Onix Ltz,2018,9490000.0,29000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-onix-2018-metropolitana-de-santiago-cod75832026.html,94900000.0,290000.0,2018
chevrolet,Onix 1.0t Lt 4x2 Sedan Mt 4p,2021,8590000.0,105745.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chevrolet-onix-2021-araucania-cod77227582.html,85900000.0,1057450.0,2021
chevrolet,Onix Nb Lt 1.0t,2021,11645000.0,14336.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-onix-2021-metropolitana-de-santiago-cod75509839.html,116457.0,143360.0,2021
chevrolet,Onix Hb Ltz 1.0t Mt,2021,9500000.0,40000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/chevrolet-onix-2021-metropolitana-de-santiago-cod77125057.html,95000000.0,400000.0,2021
chevrolet,Onix 1.0t Rs Mt 5p,2022,9490000.0,23985.0,bencina,tarapaca,https://automoviles.emol.com/venta/autos/chevrolet-onix-2022-tarapaca-cod76974057.html,94900000.0,239850.0,2022
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,2024,12090000.0,38859.0,bencina,antofagasta,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-antofagasta-cod77093809.html,12097.0,388590.0,2024
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,2024,11590000.0,54025.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-araucania-cod77063806.html,11597.0,540250.0,2024
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,2024,12090000.0,38196.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-araucania-cod77068960.html,12097.0,381960.0,2024
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,2024,11590000.0,42015.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-araucania-cod77095102.html,11597.0,420150.0,2024
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,2024,11790000.0,38544.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-araucania-cod77103444.html,11797.0,385440.0,2024
chevrolet,Onix 1.0t Rs R 4x2 Hb Mt 5p,2024,11790000.0,33708.0,bencina,araucania,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-araucania-cod77107722.html,11797.0,337080.0,2024
chevrolet,Onix 1.0t Lt R 4x2 Hb Mt 5p,2024,12090000.0,38006.0,bencina,biobio,https://automoviles.emol.com/venta/autos/chevrolet-onix-2024-biobio-cod77071763.html,12097.0,380060.0,2024
