_id,antiguedad_auto,cat_combustible,categoria_precio,ciudad,combustible,es_ecologico,fecha_captura,foto_url,grupo,kilometraje,marca,modelo,precio,rango_kilometraje,tipo_marca,url,uso_anual_estimado,usuario,year
6a1c9207b2f827e18bad50eb,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:26,,AutoTec,1000.0,jaecoo,5,12490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-89_DIFOR,,Martin,2026
6a1c9207b2f827e18bad5122,0,0,Medio,santiago,bencina,0,2026-05-31 19:53:49,,AutoTec,1000.0,jaecoo,5,11990000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHH-26_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50e0,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:25,,AutoTec,1000.0,jaecoo,5,12490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-70_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50dc,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:17,,AutoTec,1000.0,jaecoo,5,12490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-88_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50e1,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:25,,AutoTec,1000.0,jaecoo,5,12790000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-90_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50de,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:25,,AutoTec,1000.0,jaecoo,5,12490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-69_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50e9,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:26,,AutoTec,1000.0,jaecoo,5,12490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-82_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50ed,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:26,,AutoTec,1000.0,jaecoo,5,12490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-76_DIFOR,,Martin,2026
6a1c9207b2f827e18bad5132,0,0,Medio,santiago,bencina,0,2026-05-31 19:53:57,,AutoTec,1000.0,jaecoo,5,13290000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHJ-41_DIFOR,,Martin,2026
6a1c9207b2f827e18bad50ee,0,0,Medio,santiago,bencina,0,2026-05-31 19:49:26,,AutoTec,1000.0,jaecoo,5,12490000.0,Bajo,generalista,https://www.difor.cl/autos-usados-chile/VWHD-86_DIFOR,,Martin,2026
6a1ba968b2f827e18bad42a8,18,0,Bajo,providencia,bencina,0,2026-05-31 03:21:16,,autotec,221000.0,nissan,Murano,4280000.0,Alto,generalista,https://www.yapo.cl/autos-usados/2008-nissan-murano-3-5-sl/32332649,12277.777777777777,dani,2008
6a1ba969b2f827e18bad434c,9,0,Medio,puerto montt,bencina,0,2026-05-31 03:17:24,,autotec,245000.0,subaru,Outback,9990000.0,Alto,generalista,https://www.yapo.cl/autos-usados/2017-subaru-all-new-outback-ltd-cvt-2-5-aut/31927543,27222.222222222223,dani,2017
6a1ba967b2f827e18bad4212,8,1,Medio,la reina,diesel,0,2026-05-31 03:22:07,,autotec,154420.0,hyundai,Porter,10580000.0,Alto,generalista,https://www.yapo.cl/autos-usados/2018-hyundai-porter-2-5-crdi/32332675,19302.5,dani,2018
6a1ba969b2f827e18bad4336,7,0,Medio,puerto montt,bencina,0,2026-05-31 03:19:19,,autotec,118500.0,dodge,Journey,8490000.0,Medio,generalista,https://www.yapo.cl/autos-usados/2019-dodge-journey-se-2-4-aut-tres-corridas-de-asientos/32122336,16928.571428571428,dani,2019
6a1ba969b2f827e18bad4365,9,0,Medio,puerto montt,bencina,0,2026-05-31 03:17:26,,autotec,48000.0,peugeot,301,6290000.0,Bajo,generalista,https://www.yapo.cl/autos-usados/2017-peugeot-301-sedan-vti-1-6/32259831,5333.333333333333,dani,2017
6a1ba969b2f827e18bad4363,7,1,Medio,providencia,diesel,0,2026-05-31 03:19:36,,autotec,61000.0,opel,Crossland X,8980000.0,Medio,generalista,https://www.yapo.cl/autos-usados/2019-opel-crossland-x-1-5t-diesel-enjoy/32351288,8714.285714285714,dani,2019
6a1ba969b2f827e18bad4354,8,0,Alto,puerto montt,bencina,0,2026-05-31 03:17:25,,autotec,147200.0,chevrolet,Silverado,23500000.0,Alto,generalista,https://www.yapo.cl/autos-usados/2018-silverado-dc-ab-4x4-5-3-aut-ltz-ano-2018/32039102,18400.0,dani,2018
6a1ba969b2f827e18bad434f,14,1,Medio,puerto montt,diesel,0,2026-05-31 03:19:34,,autotec,179000.0,volvo,Xc60,8590000.0,Alto,premium,https://www.yapo.cl/autos-usados/2012-volvo-xc-60-d5-diesel/31512220,12785.714285714286,dani,2012
6a1ba968b2f827e18bad4292,13,0,Medio,puerto montt,bencina,0,2026-05-31 03:21:14,,autotec,92500.0,kia,Soul,5890000.0,Medio,generalista,https://www.yapo.cl/autos-usados/2013-kia-soul-1-6-cc-mec/31927449,7115.384615384615,dani,2013
6a1ba969b2f827e18bad4312,6,0,Medio,providencia,bencina,0,2026-05-31 03:17:05,,autotec,47000.0,peugeot,301,8500000.0,Bajo,generalista,https://www.yapo.cl/autos-usados/2020-peugeot-301-1-6-vti-auto-active-pack/32046638,7833.333333333333,dani,2020
6a1ba969b2f827e18bad42ee,4,1,Medio,providencia,diesel,0,2026-05-31 03:17:01,,autotec,121000.0,maxus,T60,11980000.0,Alto,generalista,https://www.yapo.cl/autos-usados/2022-maxus-t60-2-0d-gl-4wd/32455357,30250.0,dani,2022
6a1ba967b2f827e18bad41df,5,1,Medio,providencia,diesel,0,2026-05-31 03:21:34,,autotec,115000.0,ford,Ranger,13980000.0,Medio,generalista,https://www.yapo.cl/autos-usados/2021-ford-ranger-3-2-dsl-xlt-4wd/32194509,23000.0,dani,2021
6a1ba968b2f827e18bad42ba,2,0,Medio,peñalolen,bencina,0,2026-05-31 03:20:07,,autotec,20568.0,fiat,Mobi,7500000.0,Bajo,generalista,https://www.yapo.cl/autos-usados/2024-fiat-movi-like/32454980,10284.0,dani,2024
6a1ba969b2f827e18bad4368,3,1,Medio,providencia,diesel,0,2026-05-31 03:19:36,,autotec,45000.0,citroen,C3,10980000.0,Bajo,generalista,https://www.yapo.cl/autos-usados/2023-citroen-c3-1-5-bluehdi-100-s-amp-s-bvm6-feel/32356528,15000.0,dani,2023
6a1ba966b2f827e18bad41b9,4,1,Alto,talcahuano,diesel,0,2026-05-31 03:20:41,,autotec,68000.0,volkswagen,Amarok,25500000.0,Medio,generalista,https://www.yapo.cl/autos-usados/2022-volkswagen-amarok-2-0-tdi-highline-auto-4wd/32477622,17000.0,dani,2022
6a1ba969b2f827e18bad433c,3,0,Medio,puerto montt,bencina,0,2026-05-31 03:19:33,,autotec,56500.0,dodge,Ram Cargo,9990000.0,Medio,generalista,https://www.yapo.cl/autos-usados/2023-camioneta-dodge-ram-700-slt-cd-1-4/32346508,18833.333333333332,dani,2023
6a1ba969b2f827e18bad434e,3,1,Medio,puerto montt,diesel,0,2026-05-31 03:17:25,,autotec,65000.0,peugeot,2008,14350000.0,Medio,generalista,https://www.yapo.cl/autos-usados/2023-peugeot-2008-blue-hdi-130-eat8-1-5-aut/31927573,21666.666666666668,dani,2023
6a1ba969b2f827e18bad4326,3,0,Alto,lo barnechea,bencina,0,2026-05-31 03:19:18,,autotec,30900.0,bmw,X2,25600000.0,Bajo,premium,https://www.yapo.cl/autos-usados/2023-bmw-x2-1-5-sdrive-18i-dynamic/32243684,10300.0,dani,2023
6a1ba968b2f827e18bad4269,2,1,Alto,providencia,diesel,0,2026-05-31 03:19:49,,autotec,98000.0,mitsubishi,L 200,21980000.0,Medio,generalista,https://www.yapo.cl/autos-usados/2024-mitsubishi-l200-2-5-td-katana-crt-4wd/32390456,49000.0,dani,2024
6a1ba967b2f827e18bad41de,4,1,Alto,las condes,diesel,0,2026-05-31 03:21:33,,autotec,45000.0,bmw,220d,26490000.0,Bajo,premium,https://www.yapo.cl/autos-usados/220-diesel-mantenciones-en-bmw/32384246,11250.0,dani,2022
6a1ba967b2f827e18bad4226,11,0,Medio,las condes,bencina,0,2026-05-31 03:17:42,,autotec,137000.0,audi,A5,12990000.0,Alto,premium,https://www.yapo.cl/autos-usados/a5-coupe-tfsi-1-8-aut/32501479,12454.545454545454,dani,2015
6a1ba966b2f827e18bad419d,1,0,Medio,vitacura,bencina,0,2026-05-31 03:20:25,,autotec,26400.0,ram,700 Big Horn,13990000.0,Bajo,generalista,https://www.yapo.cl/autos-usados/2025-ram-700-1-3-big-horn-dc/32451767,26400.0,dani,2025
6a1ba968b2f827e18bad42ca,4,0,Alto,lo barnechea,bencina,0,2026-05-31 03:21:32,,autotec,59000.0,audi,A5,32990000.0,Medio,premium,https://www.yapo.cl/autos-usados/audi-a5-2-0-45tfsi-4wd-aut-2022/32166646,14750.0,dani,2022
