y_real,y_predicho
29300000.0,29733219.760209054
11890000.0,11682244.454373693
10290000.0,11592417.583522083
12900000.0,11390774.505407708
6790000.0,10170183.027302166
15900000.0,9609756.642531678
11990000.0,12780887.475010246
16500000.0,10696578.243396722
6990000.0,9564165.206416395
8500000.0,11165839.979265582
3680000.0,3150762.508078775
11290000.0,13173527.62826918
17950000.0,16913104.309460357
25990000.0,24732664.38728978
7990000.0,10700342.207656622
35970000.0,26653408.008454148
